Вменяют тарелкам
правую споткнулись
Зэка Васильев
Небось картошку
Поет ночами
белая Мадонна
берега пологие
великих глупца
девять грамм
дурная молва
морякам тяжело
ночами лунными
опальный стрелок
самых главных
темп рвет
терпит суеты
чьей вине
Летит паровоз
слышим нередко
уютной тиши
чувство меры
Бьют лучи
ехал плача
невестой Ночью
серый лимузин
кабанье мясо
пятна красные
Вес взят
Рядовой Борисов
допить бокал
моим заботам
поры подержи
закусил удила
Робин Гуд
Вачу ехал
Мир вашему
вольные стрелки
горячий развяжет
левее наклон
молчит наука
напоследок прокричу
правее наклон
развяжет язык
серых хищников
способен аскет
Своими семью
вечный санаторий
коварная Ложь
красна девица
полной мере
резко бокалы
спокоен средь
последней черты
слегка Погибшим
становись моряком
Бабье лето
Сколь веревочка
нашему советскому
советскому народу
История болезни
Мэри Энн
всей Вселенной
второго батальона
покажется наоборот
придется расчитаться
рукой подать
согласен бегать
шире кругозор
вечные хребты
дань кораблей
колоде козырей
Воздушные потоки
Восходящие потоки
вздернет скорее
воздух закричал
волчьи выл
лезвию ножа
надежное золото
надоест тепло
окуривает дым
отечестве своем
щеки Холодной
Бывший лучший
серебряные струны
поваренная соль
пара фраз
гражданин судья
приведет дорога
успели оглянуться
хватать тузы
бабье лето
аборигены съели
городе Вологде
невеста Мной
ноют раны
этим шуткам
Идет охота
Великий океан
Ошибка вышла
Будем честно
века сжигали
главных дел
зыбком свете
ищи ветра
погасло вино
течет речка
тяжело привыкать
лают псы
спине Загипсованный
самом дне
первые ряды
Вспомнилась песня
других отечествах
черту переступил
встречи случаются
зажигают свечи
ненужные встречи
стройные ряды
какую пропасть
Мао слушают
Пар горячий
Товарищи ученые
пойду воровать
славный полк
Мао Цзедун
всеми парусами
плыл корабль
справедливости хотят
моею спиной
Очи черные
вашему дому
рассветы Раньше
дерзкая рука
девица жила
именно уснуть
какие иены
какие хоромы
Любой корабль
Каждый член
грабили одну
порыв говорить
свете свечей
каждым днем
нередко Сейчас
Уходит поезд
поднявши черный
ноты врозь
свету отвык
ждать веселей
прочь сомнения
Чуть левее
Чуть правее
двенадцать часов
загоняя коней
заклятый враг
коней напою
наше село
сказочной стране
тесный круг
часов людям
слава богу
волками жил
пропасть напоследок
идут эшелоны
почему заваруха
черный флаг
Мои поезда
Пляшут ноты
история болезни
козла отпущения
насовсем опоздать
ними встретились
сыновья уходят
сон нарушать
нужные ноты
Славный парень
делам моим
живучий парень
остаток сил
утра проворковали
вместе грабили
минном поле
острые края
хочет молчать
всю страну
Ловите ветер
скорей становись
целом мире
борту борт
назло моим
птицы летят
Словно шепнули
четыре масти
милая Маринка
белого свету
оба судна
год напролет
коня своего
слезы оботрет
каком забыл
несла свою
рядом случаи
суше вопреки
юность мою
сих пор
Петров зэка
лицо недобро
наметанный глаз
твой окуривает
бывает противно
парень Барри
самое главное
веру сами
съели Кука
нашей городской
страховки идет
товарам нельзя
Засыпать после
идет эффективно
нашей эры
после качки
горькую нашу
нашу слюну
чистом поле
видел Нагайскую
пробил час
свои гены
самые зэка
несколько слов
однажды гулял
ума сойти
чему гадать
Четыре года
стоит свеч
Спасибо нашему
шаг вперед
проходит вместе
вечер зажигают
парень Робин
черт возьми
счастливый путь
верю судьбе
дайте срок
долгие года
Дела идут
той поры
Будто тронутый
нельзя залежаться
хочется верить
Чуть помедленнее
белый вальс
белый слон
четверти пути
ради бога
конце весны
зэка Васильев
самом деле
стал шутить
Мои друзья
первый окрик
Целый год
забота одна
давай рыдать
потеря Для
перед боем
Всего лишь
давай хватать
мое второе
весь гражданский
руки сложа
ветер дул
почему кричат
Две судьбы
эту веру
возле самого
работа идет
кого потеряли
стесняемся при
восемь часов
войны пара
пока Разбросает
через плечо
Давай думать
продам свои
две недели
куда подалее
тыщу лет
время Бонапарт
время лечит
Побудьте день
кругом пятьсот
подо мной
образ твой
пять минут
столько бед
вдруг вспоминается
Спасите наши
лучших друзей
славный парень
Сколько летящих
Сколько славных
одной ногой
Альпинистка моя
скалолазка моя
нетерпеньем ответ
тем временем
Будто знают
чуть замешкался
очень отрицательно
просто увернулись
красный свет
меж ними
Лукоморья больше
воскресный день
мои корреспонденты
давно сыграли
Слишком много
наш пароход
наш гвинейский
каждый квартал
людям хочется
Пятнадцать лет
него забота
ветер всеми
Без всяких
черный дым
слишком рано
этот тип
конечно спою
хочется спать
сжигали люди
сказал врачу
Тем более
игра стоит
Нам выпадает
После смерти
две строки
просто пылью
чтобы ждать
Летела жизнь
Там сгорела
жизнь покажется
они произносятся
каждый попадал
быть заметным
час пик
Мать моя
Столько людей
Неужели никто
здесь встречаем
МУРе Спасибо
пол года
Благодать или
или благословение
уже ответили
тем более
Пусть вздернет
Про погоду
этой самой
наш тесный
равно совьешься
маленькие люди
тех пор
Должно быть
тебя выдавала
вам Живые
тридцать семь
слон Был
Это Клим
снова уйти
должно быть
чуть помедленнее
Там дурная
Там ненужные
Позабыв про
Над нами
них подставиться
для верности
для пыток
мой оазис
ошибается Только
нету сил
свободу Спасибо
вел себя
нету Кука
словно встарь
обратно пришел
Спасибо нашей
знаю отлично
нибудь взглядом
хоть залейся
хоть убей
чужие слова
Где полагается
Люблю тебя
самый главный
вона где
следующий раз
опять рыдать
столько знаю
пути придется
Она ушла
душе моей
люди справедливости
Они играют
товарищ Мао
места Будто
целый год
при деньгах
Быть может
моя невеста
каждый третий
только барханы
жизнь хороша
было Слово
приехал друг
три великих
этом доме
Выхода нет
джентльменов нет
Пророков нет
десять лет
МУРе никто
уже пришли
еще Постою
друг друга
добрый час
под ребро
два уха
под Москвой
под дых
под черное
мой соперник
Сначала было
очень опасен
другой человек
Стоит только
Где Леонов
нам подошвы
ноты давно
только желание
друг другу
сегодня наплевать
белый свет
под седлом
был воскресный
наши души
ребята сказали
целый день
есть удача
без опаски
без страховки
без узды
под ложечкой
без промаха
кем идти
оазис еще
Вот причина
Скажи еще
так далее
словно пули
лишь час
вот явились
восемь лет
каждый вечер
было поздно
Париж пока
очень трудно
или близко
многих людей
Жжет нам
другое если
под венец
три уха
всё равно
тридцать три
Для многих
Все былое
был физически
три рубля
под танки
Мой черный
наш тренер
Про любовь
через час
каждый день
Средь них
без оружия
два раза
конце пути
этот самый
твой дом
Она была
Этот самый
жить хорошо
Там чужие
Одни под
под богом
два двенадцать
Хоть немного
всю жизнь
Это значит
Кто поверил
без потерь
еще спасибо
будите меня
уже едят
Может быть
будет нефть
Все относительно
было сорок
пор моя
ведь главное
там чечетка
это обязательно
меня пошлют
чего решил
действительно Все
три дня
Они давай
просто другой
всего один
может быть
без причины
двадцать два
пора уже
этой жизни
крик мой
Это самое
кони мои
Все нужные
всех подряд
Вокруг меня
тобою тебя
выпью это
Если хочешь
Так зачем
при том
Для чего
Мне нужна
нею был
Сколько лет
под ребра
под стать
Что подчас
Всем нам
разве это
три слова
десять раз
без страха
лет назад
Что примет
нам хватит
над нами
нет удачи
так красиво
Все равно
душа моя
очень хочется
Было только
Мой друг
рампы мне
мне попались
шепнули мне
ему всё
Что случилось
под поезд
Песня про
алые как
этот вечер
этот год
при жизни
пять лет
для других
Послушайте все
картошку все
там благодать
Вам жизнь
вас Будет
кто раньше
жди меня
надо мною
если можешь
что сапер
что пророчится
Если шел
под ногами
все проходит
этот час
Только зря
нам плевать
среди нас
Это вовсе
Спасибо вам
это бред
много раз
две руки
Правда ведь
другой раз
над ним
Нам вчера
все поймут
нам хочется
Даже если
меня приехал
как подводная
как собака
этот дом
Досадно мне
все вопросы
только жаль
Или просто
был последний
при этом
весь свой
мне баньку
для того
который раз
все роптали
вот ушли
Для кого
первый раз
подчас мне
печень мне
быть может
Вот такая
нефтью как
Обидно мне
нему под
это точно
надо мной
про вас
Вот почему
что отмоюсь
что живой
все ясно
Так оно
Меня ведь
знаю про
Потому что
Всех нас
рано нас
Мне кажется
все вокруг
все равно
жить еще
мне снится
что поменьше
что почем
что способен
Кто идет
как водится
при чем
еще две
Пока мой
сейчас будет
Мне сказали
без слов
мне молча
мне просится
для чего
Там каждый
просто так
Для всех
Все ушли
друг мой
что другое
Почти что
так сказать
все ниже
кто такие
без этих
для всех
мне сидит
еще раз
Как хорошо
еще много
больше нет
них есть
жизнь моя
как назло
как будто
вот сейчас
Улыбнись мне
баньку мне
Мне каждый
это всё
сам себя
под воду
Иногда как
это время
все подряд
был капитан
сзади нас
Как будто
Для тебя
про дела
чуть было
Все ваши
тренер мне
все века
кто сзади
Или когда
сказал ему
пока еще
Мне ребята
есть еще
мне письма
войне как
этот раз
без него
всем нам
они уже
Или это
Нет или
Сколько раз
для кого
для вас
что именно
все более
только первый
как Пеле
куда меня
мне бывает
Это просто
как тень
мне туда
так сразу
как хочешь
мой друг
Чтоб было
все тихо
Так всем
делать мне
Кто сказал
вот она
Вот тогда
Только раз
это дело
потому что
Сказал мне
вот теперь
как снег
Ведь это
Мне этот
нее все
нам они
для них
Ведь если
Вот уже
если есть
кто куда
как другие
кажется мне
был один
под них
кони мне
еще там
еще один
Мне надо
как беда
как всегда
Для меня
Все наши
быть только
Это был
Зачем мне
душу мне
кто кого
вот это
где был
мне хорошо
сон мне
Где только
Все больше
Вот это
здесь еще
так просто
Так что
войны как
Все будет
нас тут
это очень
это просто
Что тебе
Вот только
Мне есть
равно меня
вас там
Вот мой
Про меня
нельзя мне
для нас
нас для
Она мне
Как они
только вот
все время
будет так
как вчера
Чтоб кто
все мои
она мне
Пока что
Пусть это
меня было
мне сказал
пока что
это вам
тогда все
это есть
лучше мне
Что было
это для
Кто без
Если был
как три
что есть
люди все
Когда меня
Что надо
Что теперь
для меня
Это все
что время
было мне
как всем
как тогда
Вот кто
его без
Если кто
раз меня
Как там
время как
Мне так
Вот так
Что там
ведь все
Все это
мне быть
Мне это
мне очень
как два
там был
хоть как
мне под
как один
если что
Кто меня
без нас
что было
кто там
что здесь
это был
как люди
мне про
или что
что будет
мне хоть
без меня
Что нам
что люди
все это
теперь мне
что сам
как раз
что там
где все
Что так
Что мне
это все
Что все
вот мне
что его
что это
как нам
был мне
там все
что мне
так как
все без
это мне
кто мне
что еще
кто все
был как
как все
вот что
Как мне
что нам
что был
так что
что так
что нас
что все
мне все
все как
